incident_count_500m,incident_count_1km,weighted_severity_score,harassment_density,poor_lighting_density,distance_to_police_km,distance_to_hospital_km,hour_of_day,is_night,is_weekend,risk_category
0,0,0.0,0,0,6.63,1.93,10,0,1,0
1,2,2.34,0,2,0.15,3.94,3,1,1,0
0,3,3.15,3,0,2.44,3.65,2,1,0,0
3,3,8.33,1,1,3.15,0.79,23,1,1,1
1,3,3.96,0,2,0.2,0.59,21,1,1,0
2,5,7.69,3,3,1.66,1.11,4,1,0,2
3,6,8.12,1,3,3.01,1.85,5,1,0,2
1,3,3.04,2,2,1.58,2.14,8,0,0,0
2,4,7.51,2,3,0.22,1.6,3,1,0,1
4,8,14.07,4,4,2.23,2.92,6,0,0,2
1,5,6.51,3,3,0.21,1.59,12,0,1,1
1,2,3.27,0,1,3.16,7.51,9,0,1,0
0,3,3.24,2,1,0.18,0.96,11,0,1,0
1,3,3.68,0,2,0.37,2.67,9,0,0,0
4,8,12.75,3,4,0.68,2.56,10,0,0,2
5,5,11.5,4,3,1.91,1.03,10,0,0,2
2,3,6.72,1,2,6.84,1.53,21,1,0,0
0,4,2.53,4,3,0.33,1.34,5,1,0,1
3,5,10.14,1,3,0.38,0.67,5,1,1,2
0,3,1.63,1,2,0.93,1.82,19,0,0,0
2,4,6.62,0,3,3.36,1.42,5,1,0,1
4,5,5.25,2,2,1.23,0.69,11,0,0,1
1,3,3.73,0,1,0.8,1.69,22,1,1,0
5,6,11.82,1,4,1.58,1.57,13,0,0,2
5,8,12.27,2,1,0.64,0.55,17,0,0,2
1,2,1.67,2,1,1.02,0.55,22,1,1,0
1,2,3.29,0,2,0.83,2.81,18,0,0,0
2,4,6.14,3,4,3.03,3.27,9,0,0,1
1,5,7.1,1,4,4.74,7.28,9,0,0,1
0,5,4.03,0,2,2.67,0.43,6,0,0,0
2,3,7.07,1,2,1.14,0.51,9,0,0,1
2,4,6.96,4,1,1.36,0.33,13,0,1,1
1,3,3.05,0,1,0.34,2.1,4,1,0,0
0,4,5.98,0,3,2.57,2.64,21,1,0,0
2,3,4.33,2,1,1.73,1.49,10,0,0,1
3,8,10.06,2,3,4.29,4.2,6,0,0,2
1,1,1.22,1,2,0.5,3.1,19,0,0,0
1,4,6.46,1,3,2.67,10.84,17,0,0,1
0,3,2.08,1,3,2.18,0.57,10,0,0,0
4,5,5.72,1,4,0.66,0.35,19,0,0,1
0,0,0.0,0,1,2.08,1.0,2,1,0,0
1,2,3.51,2,0,4.75,0.25,6,0,0,0
2,5,5.66,3,3,4.61,6.94,3,1,0,1
4,6,6.85,2,3,2.39,1.11,18,0,0,2
1,2,3.46,2,1,0.19,2.21,20,0,1,0
1,6,6.44,2,4,3.8,1.16,17,0,0,1
0,1,1.14,0,1,2.03,0.91,10,0,1,0
0,0,0.0,0,0,0.77,0.61,13,0,0,0
0,3,1.68,2,1,0.47,1.17,9,0,1,0
3,5,5.66,0,2,0.32,2.59,13,0,0,1
2,4,4.33,2,4,0.19,9.11,3,1,1,1
1,5,4.02,2,3,2.63,2.24,22,1,0,0
2,5,6.4,3,3,0.58,2.1,11,0,1,1
2,4,4.77,3,2,0.14,0.29,11,0,1,1
2,3,4.27,1,2,1.01,4.78,1,1,0,0
0,3,1.99,0,2,1.29,0.31,5,1,1,0
1,5,5.46,2,3,0.43,6.12,4,1,0,1
3,3,6.04,2,3,0.18,2.13,18,0,0,1
2,4,3.37,1,4,0.48,0.66,20,0,0,1
4,5,5.51,2,6,2.15,1.7,14,0,0,1
0,3,1.72,3,2,0.25,13.44,9,0,0,0
0,5,2.53,1,5,1.56,1.11,6,0,1,0
0,4,2.6,1,2,0.38,0.98,18,0,1,0
0,1,0.92,0,2,0.49,0.51,7,0,1,0
1,4,6.74,2,4,1.0,2.47,14,0,0,2
2,5,7.24,4,4,0.29,0.43,22,1,0,1
2,4,7.51,2,3,0.44,3.83,3,1,0,1
5,8,16.45,2,4,0.87,6.49,12,0,0,2
0,1,0.73,1,0,0.82,6.92,4,1,0,0
4,8,14.16,4,3,2.59,0.49,10,0,0,2
3,3,6.65,2,3,0.24,2.24,15,0,1,1
3,5,7.86,1,2,3.64,0.46,19,0,0,1
3,5,6.78,2,3,3.15,2.32,17,0,0,2
2,3,5.59,1,2,2.71,4.42,14,0,0,1
1,5,8.16,0,3,0.77,2.13,0,1,0,1
3,5,7.23,2,5,3.22,5.34,7,0,0,1
2,6,9.85,5,4,0.46,4.24,3,1,0,2
1,3,4.89,1,3,0.34,1.01,8,0,0,0
3,8,8.16,6,4,0.18,2.69,18,0,1,2
1,3,3.7,0,3,5.14,0.22,6,0,0,0
2,3,5.17,2,1,0.76,1.46,14,0,1,0
1,2,2.94,0,1,4.59,0.88,2,1,0,0
0,2,1.35,0,3,0.67,7.12,11,0,0,0
2,4,8.44,2,3,4.39,1.5,22,1,1,1
0,4,4.46,2,3,4.32,2.85,1,1,0,1
1,2,2.12,2,1,4.73,3.49,18,0,0,0
2,5,7.15,2,2,1.33,3.91,23,1,0,1
0,4,5.13,2,2,3.72,3.53,6,0,1,0
2,7,6.14,5,2,5.52,1.05,10,0,0,2
4,6,11.1,2,3,0.81,3.1,18,0,0,2
0,4,4.3,1,2,1.08,2.19,7,0,0,0
2,4,4.42,1,2,2.39,2.47,12,0,0,0
1,3,4.12,1,2,0.74,0.2,8,0,1,0
1,4,5.12,2,4,2.62,0.95,1,1,1,1
1,3,4.2,0,2,0.24,6.87,17,0,0,0
0,1,1.47,0,2,1.43,1.06,14,0,0,0
0,2,1.54,0,1,0.33,1.64,22,1,1,0
4,8,14.68,3,5,0.72,0.72,10,0,0,2
2,3,7.02,1,0,0.64,0.57,23,1,1,0
1,4,5.42,1,1,3.39,0.79,14,0,0,1
1,4,4.88,2,2,0.49,2.22,20,0,0,0
3,5,6.36,3,2,3.07,6.48,17,0,1,2
3,6,8.7,2,4,2.94,1.19,13,0,0,2
2,6,9.11,3,3,1.34,1.18,20,0,1,2
2,4,4.45,0,4,0.58,2.28,18,0,0,1
3,4,6.39,3,4,0.56,1.3,12,0,0,1
1,2,3.09,1,0,1.23,6.23,15,0,1,0
0,3,1.7,4,2,0.12,1.39,1,1,0,0
1,8,6.51,6,5,1.46,1.89,1,1,1,2
1,3,5.11,2,1,5.6,2.11,16,0,1,0
4,7,12.17,0,3,0.4,4.01,21,1,1,2
2,5,8.1,2,4,1.63,2.27,21,1,1,2
5,10,13.52,2,8,5.98,0.88,19,0,0,2
2,5,8.81,4,4,3.65,0.53,17,0,0,2
0,2,1.43,2,1,3.52,7.14,9,0,1,0
3,4,5.58,4,2,3.21,4.24,11,0,0,1
2,4,5.34,2,2,0.77,0.26,2,1,0,1
3,6,11.5,2,3,4.08,4.51,5,1,0,2
1,6,8.22,2,3,5.2,2.43,19,0,0,1
8,11,12.73,4,4,1.33,2.03,4,1,1,2
1,3,2.51,1,3,0.89,0.23,20,0,0,1
2,4,8.5,2,3,1.06,4.0,7,0,0,1
2,5,9.34,4,3,0.83,0.75,17,0,0,2
0,2,1.1,1,3,0.53,3.45,15,0,1,0
3,7,10.08,4,3,1.83,0.24,13,0,1,2
4,7,12.02,4,2,1.59,4.18,5,1,0,2
0,2,1.61,1,2,1.22,0.26,10,0,1,0
0,1,0.65,0,2,0.28,0.87,5,1,0,0
3,5,6.33,2,3,2.97,0.98,4,1,0,1
0,4,2.26,2,1,0.45,0.63,14,0,1,0
0,1,0.79,0,1,0.32,1.84,5,1,0,0
1,2,2.38,1,0,1.86,1.03,20,0,0,0
1,2,1.89,3,1,1.02,12.71,15,0,0,0
2,3,3.27,0,1,0.21,2.37,17,0,0,0
2,4,6.05,2,4,0.89,2.29,20,0,0,1
2,5,5.06,3,3,2.76,0.82,0,1,0,1
2,5,9.96,3,4,1.82,1.51,2,1,0,2
2,4,5.09,2,2,0.91,0.53,22,1,0,1
1,3,4.06,2,1,0.48,3.79,19,0,0,0
1,2,2.42,1,3,1.9,1.21,23,1,0,0
0,3,3.19,0,1,4.03,3.69,2,1,1,0
0,1,1.31,2,1,1.97,1.36,6,0,0,0
0,1,0.69,1,1,3.12,11.42,13,0,1,0
0,2,2.74,1,2,1.43,0.67,17,0,0,0
1,4,6.29,2,1,2.38,0.2,23,1,0,1
2,4,7.13,0,2,4.18,2.46,14,0,0,1
1,3,3.07,3,2,2.77,7.84,12,0,1,0
0,3,1.56,2,2,4.43,2.8,18,0,0,0
0,1,1.09,0,0,1.12,0.42,21,1,0,0
0,2,2.73,3,2,4.32,2.14,1,1,0,0
1,3,4.81,2,2,1.85,6.21,6,0,0,0
0,4,2.85,2,0,3.77,0.22,12,0,1,0
0,2,1.18,1,2,0.17,0.66,3,1,1,0
1,4,5.74,0,4,2.03,4.41,5,1,0,0
1,6,8.55,3,2,3.49,5.81,17,0,1,2
1,4,4.12,0,2,0.44,3.27,18,0,0,0
2,5,6.73,2,3,2.05,12.14,14,0,1,1
2,4,4.95,2,1,3.24,0.44,2,1,1,1
2,3,3.82,3,0,0.71,2.17,19,0,0,0
0,4,4.82,2,2,1.04,3.09,16,0,0,1
0,1,1.31,0,1,1.62,3.23,15,0,0,0
1,5,6.82,4,1,1.42,4.14,12,0,0,1
2,3,3.92,2,3,0.17,6.44,21,1,1,1
1,5,6.96,2,3,0.29,1.32,21,1,0,1
1,3,4.07,0,1,0.29,0.31,19,0,1,0
3,3,3.6,2,2,0.65,1.33,7,0,0,1
2,5,8.92,4,5,0.61,2.98,20,0,0,2
1,4,4.14,3,1,2.54,0.8,13,0,0,0
0,1,1.25,2,1,1.63,4.35,3,1,1,0
1,5,8.07,1,3,2.7,0.82,6,0,0,1
1,1,2.71,1,0,0.23,0.23,9,0,1,0
4,5,6.13,2,1,1.3,1.97,14,0,0,1
0,2,2.91,0,0,0.8,3.44,15,0,0,0
3,5,9.31,3,2,3.51,1.28,7,0,0,2
0,2,1.26,1,0,2.31,3.65,1,1,1,0
1,5,5.01,1,4,3.76,1.64,16,0,0,1
2,4,5.21,0,5,0.19,0.67,5,1,0,1
2,2,2.77,0,0,2.4,0.44,15,0,0,0
0,3,1.78,1,2,1.5,3.3,1,1,0,0
0,4,4.96,1,0,3.24,1.42,23,1,0,0
1,5,6.84,1,1,1.37,6.3,20,0,1,1
0,3,3.68,1,1,1.5,2.14,17,0,0,0
1,5,5.24,4,2,0.2,1.27,10,0,1,1
1,4,5.17,2,4,2.09,1.27,11,0,0,0
1,4,2.86,1,2,0.67,0.55,4,1,0,0
1,3,2.91,3,2,0.14,2.45,1,1,0,0
4,6,8.32,3,2,0.22,2.38,21,1,0,2
0,2,2.67,1,0,5.78,4.22,23,1,0,0
3,7,8.71,3,5,0.86,0.76,17,0,1,2
1,2,1.55,1,0,3.75,1.06,21,1,0,0
0,3,2.56,1,4,5.88,0.46,5,1,1,0
1,2,2.58,1,0,5.26,1.08,0,1,0,0
1,4,6.67,2,3,3.94,1.6,8,0,1,1
0,3,4.32,1,4,4.15,8.51,14,0,0,1
1,4,4.16,2,1,0.71,2.85,7,0,0,0
1,2,1.92,1,1,0.4,4.02,13,0,0,0
2,10,8.15,5,6,1.94,1.18,3,1,0,2
1,5,6.5,2,1,1.31,0.59,6,0,1,1
0,0,0.0,1,1,0.29,0.94,19,0,0,0
3,5,8.28,2,1,2.14,0.94,7,0,0,1
3,6,8.89,4,2,1.59,2.39,9,0,0,2
1,2,3.41,2,0,3.68,1.24,17,0,0,0
3,6,5.37,3,5,1.79,5.07,17,0,0,2
2,4,4.3,2,1,1.64,11.37,18,0,0,0
0,0,0.0,0,0,1.15,1.25,3,1,0,0
3,4,8.61,4,2,1.22,3.25,12,0,0,2
1,3,4.57,0,1,5.66,2.88,5,1,0,0
0,1,0.62,1,1,0.37,0.74,20,0,0,0
0,1,0.87,0,0,1.16,6.45,12,0,1,0
3,7,9.21,3,5,2.02,0.76,22,1,1,2
3,5,11.39,2,3,1.12,3.54,21,1,1,2
1,3,3.89,3,1,0.7,1.27,15,0,1,0
2,4,7.55,2,1,0.71,1.34,19,0,1,1
1,3,3.49,4,2,0.58,1.72,9,0,0,1
1,2,3.24,1,2,0.86,5.2,8,0,0,0
2,5,6.78,1,2,3.8,0.58,6,0,1,1
2,5,7.68,1,0,1.37,0.34,16,0,0,1
0,5,4.99,3,2,0.59,1.49,23,1,0,1
4,6,8.69,1,4,0.97,0.34,19,0,0,2
0,0,0.0,0,1,0.3,3.11,6,0,1,0
1,2,3.65,0,0,4.32,3.77,1,1,1,0
1,2,3.52,1,1,1.04,5.02,18,0,0,0
3,5,8.08,3,1,7.18,3.6,0,1,1,1
1,4,4.44,2,2,0.87,6.4,1,1,1,0
1,6,7.17,1,3,3.36,3.65,4,1,0,1
2,4,3.59,1,4,0.63,7.08,17,0,1,1
1,3,3.86,1,0,0.24,0.74,5,1,1,0
3,8,12.6,1,5,0.16,1.93,5,1,0,2
1,3,3.95,2,2,1.78,12.96,21,1,0,0
0,2,2.21,1,2,0.77,3.06,15,0,0,0
2,3,5.25,0,2,1.16,5.47,15,0,0,0
2,5,7.81,2,1,3.17,0.28,2,1,1,1
2,6,9.86,2,5,0.61,5.33,2,1,0,2
0,5,6.22,2,1,0.76,3.19,22,1,0,1
5,6,15.64,3,3,3.46,0.67,3,1,1,2
0,1,0.6,0,2,1.32,0.27,5,1,1,0
2,7,6.31,2,2,3.26,0.95,23,1,0,1
4,7,15.74,4,4,0.94,6.39,2,1,1,2
2,4,5.42,1,3,1.01,2.96,8,0,0,1
4,9,11.12,4,8,0.43,6.5,2,1,0,2
0,3,2.07,1,2,4.57,1.68,5,1,1,0
2,4,7.95,1,2,4.19,7.1,20,0,1,1
1,4,4.65,2,3,7.57,1.75,19,0,1,1
2,2,2.24,1,2,1.03,0.77,23,1,0,0
2,5,8.57,2,3,3.17,0.61,8,0,0,1
1,8,7.83,4,6,1.06,12.91,14,0,1,2
0,2,1.82,2,0,1.19,1.22,8,0,0,0
0,1,1.0,2,0,3.29,0.64,4,1,0,0
1,2,2.69,1,2,0.45,0.22,20,0,1,0
2,4,5.32,3,4,0.55,1.04,15,0,0,1
1,1,2.74,0,1,0.78,5.7,2,1,0,0
1,4,3.64,2,4,2.89,2.11,8,0,0,0
1,5,7.51,1,5,0.94,2.7,16,0,1,1
1,3,3.25,0,3,0.9,6.59,2,1,1,0
3,7,9.86,3,5,12.23,2.0,6,0,0,2
1,4,6.3,2,4,0.97,4.75,6,0,0,1
1,4,5.53,1,3,0.61,1.18,20,0,0,1
0,2,2.1,1,2,1.86,9.64,5,1,1,0
0,5,6.87,2,0,3.01,0.41,19,0,0,1
2,5,8.34,2,1,0.23,3.43,7,0,1,1
2,2,2.85,1,0,1.84,2.9,3,1,0,0
1,3,5.1,1,0,0.17,0.73,14,0,0,0
1,3,5.1,1,1,1.45,1.43,5,1,1,1
0,3,2.2,2,3,0.63,1.14,15,0,0,0
3,6,11.0,1,4,0.76,0.45,4,1,1,2
2,5,8.56,1,2,1.23,2.4,11,0,0,1
0,4,3.38,2,3,4.81,12.86,13,0,0,0
2,3,3.58,1,2,2.33,2.25,5,1,0,1
0,3,2.44,1,1,5.07,2.17,2,1,0,0
1,3,4.28,0,3,2.04,0.3,18,0,0,0
0,2,2.93,1,1,0.11,0.57,9,0,1,0
0,3,3.59,2,2,0.66,2.0,6,0,0,0
1,3,3.68,3,1,4.35,10.73,12,0,1,1
1,2,3.66,1,1,1.96,5.43,0,1,0,1
0,4,5.61,0,3,7.3,1.24,0,1,0,1
1,4,4.24,2,1,0.41,2.16,16,0,0,0
3,5,9.88,1,5,0.73,2.21,21,1,1,2
0,1,0.9,0,0,0.91,3.09,3,1,0,0
2,4,5.46,1,2,0.81,3.11,13,0,0,1
0,0,0.0,1,1,0.62,4.1,5,1,0,0
0,3,3.49,2,3,1.15,0.26,13,0,0,0
0,2,2.0,1,1,1.95,7.39,14,0,0,0
0,1,1.16,1,0,0.77,0.38,0,1,0,0
2,4,7.44,1,3,0.25,1.82,19,0,0,1
2,2,2.83,1,0,2.32,6.5,15,0,0,0
2,7,6.31,3,4,1.21,1.87,3,1,1,2
2,5,7.27,2,4,1.56,0.36,1,1,1,2
1,4,4.3,3,2,1.19,0.85,0,1,0,1
2,2,3.87,1,1,4.08,2.36,12,0,0,0
4,8,14.69,4,4,1.57,0.43,15,0,0,2
0,6,6.51,2,5,4.72,1.58,7,0,1,1
1,3,3.62,2,2,1.39,1.2,21,1,0,0
1,4,6.13,2,3,0.72,4.42,3,1,0,1
0,2,2.66,2,1,0.89,0.49,1,1,1,0
3,6,12.17,1,2,1.43,3.07,12,0,1,2
1,3,5.59,2,1,1.46,1.5,4,1,1,1
1,2,2.59,1,1,2.19,2.42,22,1,1,0
1,4,3.62,1,2,0.56,0.78,19,0,1,0
3,5,10.7,0,3,2.04,2.55,20,0,0,2
0,1,1.44,1,1,2.81,3.0,23,1,0,0
0,1,0.71,0,1,2.13,0.38,12,0,1,0
4,5,5.26,1,2,1.28,4.55,4,1,1,1
0,3,1.95,3,2,8.72,5.14,15,0,0,0
2,3,3.82,2,2,1.03,0.36,5,1,0,0
1,2,2.91,0,0,0.3,2.51,15,0,0,0
0,3,1.69,2,0,3.2,2.45,21,1,1,0
1,3,4.01,1,2,0.53,0.23,23,1,0,1
1,2,2.08,2,1,2.35,1.25,12,0,0,0
1,2,3.09,2,0,0.45,8.88,10,0,0,0
2,5,5.97,3,1,0.13,2.23,20,0,1,1
2,5,4.79,1,1,0.41,6.97,0,1,0,0
2,4,5.2,2,4,0.95,3.01,3,1,0,1
0,4,3.35,0,3,0.3,0.27,2,1,0,0
1,2,3.93,0,1,0.5,0.4,17,0,0,0
0,1,1.27,1,2,2.7,3.4,22,1,0,0
2,4,5.68,0,3,2.74,2.22,15,0,0,1
1,2,3.47,1,2,3.16,0.54,12,0,0,0
0,1,1.03,1,0,3.41,2.58,12,0,0,0
3,6,11.28,2,3,1.08,4.36,6,0,0,2
1,6,5.11,0,2,3.74,3.7,23,1,0,0
2,3,6.36,2,2,1.44,0.91,14,0,1,1
1,4,4.58,3,0,1.24,0.95,14,0,0,0
0,4,4.56,2,1,2.38,8.79,4,1,0,0
1,3,4.08,2,0,0.53,5.66,16,0,0,1
2,2,4.36,0,1,2.9,1.16,21,1,0,1
4,7,12.74,0,5,1.11,4.54,21,1,0,2
2,4,7.44,2,2,0.35,0.64,10,0,0,1
1,5,3.79,1,4,0.33,0.75,23,1,1,0
2,5,6.63,3,3,0.42,0.7,12,0,0,1
2,6,8.18,2,3,4.08,0.43,9,0,0,2
2,6,8.4,2,2,8.57,5.02,14,0,1,1
1,3,3.86,2,3,0.89,2.36,1,1,0,1
6,8,16.92,4,2,0.72,0.95,10,0,1,2
1,2,3.39,1,2,0.54,4.92,10,0,0,0
1,6,3.55,4,4,3.23,4.26,21,1,0,2
0,0,0.0,1,0,0.52,0.47,0,1,0,0
0,4,2.87,4,1,4.74,2.78,7,0,0,0
2,5,6.39,3,2,2.08,3.4,16,0,1,1
0,2,1.09,1,2,4.19,3.35,7,0,0,0
1,3,4.11,2,3,1.55,3.41,12,0,0,0
2,4,6.51,0,4,2.21,0.66,22,1,0,1
2,7,9.12,2,3,1.84,1.15,4,1,0,2
0,1,0.65,0,1,3.3,4.85,5,1,1,0
1,4,5.14,1,0,3.35,5.92,19,0,0,0
5,6,9.05,2,5,1.7,1.02,13,0,1,2
2,3,6.66,0,1,1.9,0.26,16,0,1,1
4,10,11.41,6,5,4.69,5.11,15,0,0,2
2,9,12.41,5,7,4.88,1.38,8,0,0,2
0,1,1.23,0,1,2.06,1.2,18,0,0,0
1,5,5.35,1,3,0.11,1.27,1,1,0,1
1,1,2.18,1,0,0.3,1.54,3,1,0,0
0,2,1.58,2,1,3.61,1.39,19,0,1,0
0,2,2.95,2,3,0.26,2.29,8,0,0,0
2,4,8.25,5,2,0.53,0.41,3,1,0,2
1,2,3.92,3,1,0.57,9.1,4,1,0,0
2,5,7.68,2,1,1.75,7.09,5,1,0,1
3,6,9.25,2,3,1.65,7.01,19,0,0,2
1,5,7.58,3,3,0.72,5.49,0,1,0,1
2,6,9.17,2,1,0.52,2.9,12,0,0,2
2,3,7.03,2,2,2.7,0.82,17,0,0,1
1,3,5.44,1,2,5.03,0.33,2,1,0,0
0,4,2.07,3,3,0.2,0.46,19,0,1,0
0,2,1.72,1,0,0.36,1.18,4,1,0,0
2,7,5.47,3,5,1.95,1.95,12,0,1,1
4,5,12.15,2,3,3.04,12.7,9,0,0,2
2,3,5.46,3,1,2.92,1.63,2,1,1,1
0,2,2.09,0,3,2.39,2.06,10,0,0,0
1,5,7.3,4,1,4.03,3.17,0,1,1,1
1,3,2.57,2,2,0.54,0.7,14,0,1,0
2,7,9.31,4,3,0.3,6.95,23,1,1,2
2,3,5.85,2,2,1.82,2.08,23,1,1,1
5,7,8.52,3,4,3.21,1.01,3,1,0,2
0,2,2.56,0,0,1.67,7.04,14,0,0,0
1,7,6.99,2,4,6.03,2.66,6,0,0,2
1,4,3.88,3,3,2.96,1.85,14,0,0,1
1,3,3.87,2,3,2.27,2.37,3,1,0,0
0,0,0.0,0,0,0.21,3.65,2,1,0,0
1,2,4.3,1,1,0.31,0.62,22,1,0,1
2,4,7.76,2,3,2.87,5.2,13,0,0,1
2,5,4.96,1,1,0.5,8.22,5,1,0,1
2,4,6.78,2,3,0.15,2.29,0,1,0,1
6,7,15.7,2,1,4.45,3.07,8,0,0,2
3,7,6.13,1,3,4.09,5.11,11,0,0,1
0,3,3.13,1,3,0.54,1.37,17,0,1,0
2,5,8.34,2,4,2.83,12.55,2,1,1,2
1,3,3.53,0,2,0.19,3.05,20,0,0,0
2,3,5.8,1,3,0.7,1.58,18,0,0,1
3,8,10.43,2,5,1.86,3.03,2,1,0,2
1,1,1.31,0,1,2.69,2.04,23,1,0,0
2,6,10.71,1,6,0.12,0.5,13,0,0,2
3,4,5.47,1,3,0.81,4.17,3,1,1,1
3,8,12.29,2,4,0.53,2.28,12,0,1,2
2,4,4.17,3,2,12.18,4.17,12,0,1,1
2,5,7.53,2,4,2.1,0.62,1,1,0,1
1,6,4.84,1,2,1.04,2.13,20,0,0,1
0,1,1.37,0,0,0.24,3.84,1,1,0,0
1,4,4.53,1,1,1.74,11.32,9,0,0,0
1,2,2.69,2,0,1.95,5.59,10,0,0,0
4,7,12.16,2,3,3.15,5.19,23,1,0,2
1,1,2.33,0,2,0.71,0.91,14,0,1,0
0,4,5.33,1,3,7.27,4.75,2,1,1,0
1,2,3.92,1,1,1.14,0.66,13,0,0,0
3,6,5.71,0,4,0.73,0.75,17,0,1,1
2,4,4.17,2,2,0.87,0.49,18,0,0,0
0,2,2.27,1,1,1.42,5.07,18,0,0,0
2,7,9.69,0,3,5.07,0.49,0,1,0,2
0,7,8.73,3,5,2.49,0.57,18,0,0,1
2,7,8.61,4,3,1.65,0.91,2,1,0,2
1,5,7.25,2,1,0.42,2.33,19,0,0,1
2,6,9.53,2,2,0.39,5.5,7,0,1,1
2,4,4.69,2,3,1.36,1.55,16,0,0,0
